shaft_diameter,hub_length,shaft_type,shaft_material,has_bending,safety_factor,surface_condition,mu_override,hub_outer_diameter,shaft_inner_diameter,required_torque,pref_ease,pref_movement,pref_cost,pref_vibration,pref_speed,pref_bidirectional,pref_maintenance,pref_durability,label,analytical_label,feasible
60.0,28.0,solid,Steel 42CrMo4,0.0,1.5,oiled,,118.0,,231034.0,0.5,0.0,0.2,0.1,1.0,0.4,0.3,0.4,press,press,1.0
50.0,60.0,solid,Steel 16MnCr5,1.0,1.8,dry,0.16,142.0,,148468.0,0.9,0.1,0.1,0.1,0.6,0.8,0.7,0.1,key,key,1.0
30.0,34.0,solid,Steel 16MnCr5,1.0,1.4,dry,,73.0,,39251.0,0.7,0.8,0.6,0.8,0.3,0.0,0.5,0.2,key,key,1.0
30.0,35.0,solid,Steel S235,1.0,1.3,oiled,0.11,73.0,,28957.0,0.4,0.0,0.9,0.2,1.0,0.1,0.1,0.1,key,key,1.0
80.0,48.0,solid,SteelC45E,0.0,1.7,oiled,,195.0,,628344.0,0.2,0.7,0.2,0.1,0.2,1.0,1.0,0.9,spline,spline,1.0
45.0,43.0,solid,Aluminum 7075,1.0,1.6,dry,,106.0,,92370.0,0.0,0.3,0.5,0.1,0.0,0.0,0.2,0.0,press,press,1.0
35.0,40.0,solid,SteelC45E,1.0,1.7,oiled,,75.0,,24214.0,0.4,0.8,0.5,0.0,0.7,0.4,0.6,0.8,spline,spline,1.0
30.0,24.0,solid,Aluminum 7075,0.0,1.5,dry,,61.0,,19327.0,0.7,1.0,0.9,0.0,0.4,0.9,0.4,0.7,spline,spline,1.0
20.0,21.0,solid,Steel S235,1.0,1.6,oiled,,41.0,,4141.0,0.8,0.7,0.8,0.0,1.0,0.1,0.4,1.0,spline,spline,1.0
45.0,57.0,solid,Steel 42CrMo4,1.0,1.4,dry,,125.0,,46826.0,0.8,0.1,0.6,0.8,0.8,0.8,0.0,0.3,spline,spline,1.0
45.0,25.0,hollow,Stainless 304,0.0,1.6,dry,,111.0,19.0,139170.0,1.0,0.7,0.6,0.2,0.1,0.4,0.5,0.8,spline,spline,1.0
110.0,133.0,solid,Steel S235,1.0,1.8,dry,,243.0,,1929773.0,0.0,0.0,0.1,0.0,0.8,0.2,0.6,0.6,press,press,1.0
35.0,34.0,solid,Aluminum 7075,1.0,1.4,dry,0.07,86.0,,43113.0,0.7,0.1,0.6,0.9,0.8,0.1,0.1,0.7,press,press,1.0
20.0,12.0,hollow,Steel S235,0.0,1.8,oiled,,45.0,7.0,13544.0,0.3,0.4,0.5,0.3,0.6,0.8,0.8,1.0,spline,spline,1.0
35.0,40.0,hollow,Aluminum 6061,1.0,1.6,oiled,,89.0,13.0,22865.0,0.5,1.0,0.9,0.6,0.6,0.8,0.0,0.7,spline,spline,1.0
35.0,38.0,solid,Aluminum 6061,1.0,1.7,oiled,,79.0,,48832.0,0.3,0.2,0.5,0.4,0.7,0.5,0.6,0.5,press,press,1.0
50.0,62.0,solid,Cast Iron GG25,1.0,1.5,oiled,,141.0,,171145.0,0.9,0.7,0.6,0.2,0.4,0.3,0.1,0.6,key,key,1.0
40.0,41.0,solid,Aluminum 7075,1.0,1.6,dry,,91.0,,25457.0,0.6,0.9,0.4,0.8,0.1,0.6,0.8,0.0,key,key,1.0
45.0,47.0,solid,Cast Iron GGG40,1.0,1.8,dry,,113.0,,138827.0,0.2,0.4,0.6,0.7,0.2,0.9,0.6,0.8,press,press,1.0
45.0,36.0,hollow,SteelC45E,0.0,1.7,dry,,84.0,23.0,60054.0,0.0,1.0,0.4,0.8,0.6,0.2,0.4,0.2,spline,spline,1.0
45.0,50.0,solid,Steel 16MnCr5,1.0,1.8,dry,,106.0,,90776.0,0.5,0.7,0.1,0.2,0.0,0.5,0.5,0.5,spline,spline,1.0
20.0,23.0,solid,Steel S235,1.0,1.4,oiled,0.18,50.0,,8849.0,0.0,0.2,0.2,0.5,0.1,0.3,0.0,0.1,spline,spline,1.0
45.0,46.0,solid,SteelC45E,1.0,1.5,dry,,102.0,,66171.0,0.4,0.0,0.8,0.1,0.1,0.3,0.9,0.1,key,key,1.0
50.0,35.0,solid,Cast Iron GG25,0.0,1.5,oiled,,125.0,,199408.0,0.2,0.4,0.9,0.7,0.0,0.7,0.9,0.2,spline,spline,1.0
110.0,138.0,solid,Aluminum 6061,1.0,1.8,oiled,,230.0,,1812764.0,0.1,0.8,0.7,0.1,0.7,1.0,0.7,1.0,spline,spline,1.0
120.0,134.0,solid,Steel C45,1.0,1.5,oiled,0.19,299.0,,2002239.0,0.3,0.1,0.5,0.1,0.9,0.5,0.6,0.3,key,key,1.0
50.0,25.0,solid,SteelC45E,0.0,1.5,dry,,99.0,,188939.0,0.7,0.6,0.8,0.6,0.0,0.4,0.2,0.5,spline,spline,1.0
210.0,236.0,solid,Steel E360,1.0,1.8,oiled,,593.0,,6981535.0,0.5,0.2,0.5,0.7,0.1,0.6,1.0,0.1,press,press,1.0
45.0,52.0,solid,Steel C45,1.0,1.5,oiled,0.21,105.0,,95133.0,0.7,0.8,0.0,0.2,0.1,0.3,1.0,0.5,spline,spline,1.0
110.0,58.0,solid,Aluminum 7075,0.0,1.4,oiled,,251.0,,1584551.0,0.0,0.3,0.3,0.5,0.6,0.0,0.1,0.5,key,key,1.0
90.0,56.0,solid,SteelC45E,0.0,1.5,oiled,0.19,179.0,,831636.0,1.0,0.4,0.8,0.6,0.9,0.6,0.7,0.9,spline,spline,1.0
30.0,33.0,solid,Steel C45,1.0,1.7,dry,,67.0,,31053.0,0.1,0.7,0.4,0.6,0.2,0.0,0.9,0.5,key,key,1.0
30.0,34.0,solid,Bronze CuSn8,1.0,1.4,dry,0.23,84.0,,39815.0,0.3,0.6,0.9,0.0,0.4,0.7,0.0,0.0,key,key,1.0
40.0,42.0,solid,Steel S235,1.0,1.8,dry,,98.0,,69941.0,0.6,0.0,0.3,0.0,0.2,0.9,0.8,0.5,key,key,1.0
45.0,56.0,solid,Steel 42CrMo4,1.0,1.9,dry,,98.0,,141501.0,0.1,0.6,0.2,0.4,0.3,0.5,0.9,0.7,spline,spline,1.0
110.0,108.0,hollow,SteelC45E,1.0,1.8,dry,,305.0,36.0,670462.0,0.6,0.5,0.6,0.0,0.4,0.1,0.4,0.8,spline,spline,1.0
40.0,43.0,solid,Steel C45,1.0,1.6,dry,,82.0,,85582.0,0.1,0.0,0.2,0.2,0.0,0.0,1.0,0.8,key,key,1.0
30.0,37.0,solid,Steel E360,1.0,1.8,dry,,77.0,,41627.0,0.9,0.2,0.4,0.4,0.9,0.7,0.6,0.3,key,key,1.0
90.0,44.0,hollow,Steel 16MnCr5,0.0,1.6,oiled,,163.0,54.0,953262.0,0.3,0.2,0.7,0.0,0.8,0.2,0.8,0.6,press,press,1.0
50.0,62.0,solid,Steel 42CrMo4,1.0,1.5,dry,,128.0,,124113.0,0.9,0.5,1.0,0.4,0.8,0.7,0.1,0.4,spline,spline,1.0
90.0,109.0,hollow,SteelC45E,1.0,1.5,oiled,,188.0,47.0,489847.0,0.8,0.7,0.7,0.5,0.7,0.0,0.3,0.3,key,key,1.0
25.0,30.0,solid,Cast Iron GGG40,1.0,1.3,dry,,60.0,,25565.0,0.0,0.0,1.0,0.2,0.8,0.5,0.9,0.1,key,key,1.0
40.0,50.0,solid,Cast Iron GG25,1.0,1.6,dry,,95.0,,105379.0,0.6,0.7,0.0,0.5,1.0,0.8,0.3,0.3,spline,spline,1.0
110.0,66.0,hollow,Steel 16MnCr5,0.0,1.5,oiled,,284.0,46.0,1758929.0,0.8,0.2,0.3,0.1,0.9,0.6,0.5,0.2,press,press,1.0
20.0,20.0,solid,Steel 16MnCr5,1.0,1.5,dry,,46.0,,14237.0,0.5,0.1,0.4,0.6,1.0,0.0,0.2,0.2,key,key,1.0
90.0,42.0,solid,Steel S235,0.0,1.7,dry,,229.0,,621347.0,0.9,0.9,0.7,0.0,0.3,0.1,0.0,0.9,spline,spline,1.0
50.0,25.0,solid,Steel C45,0.0,1.6,oiled,,105.0,,185839.0,0.1,0.8,0.7,0.4,0.4,0.7,0.0,0.2,spline,spline,1.0
20.0,24.0,hollow,Steel 42CrMo4,1.0,1.7,oiled,,56.0,8.0,12549.0,1.0,1.0,0.7,0.6,0.1,0.9,0.4,0.8,spline,spline,1.0
35.0,21.0,hollow,Steel S235,0.0,1.4,oiled,,89.0,20.0,49879.0,0.1,0.0,0.7,0.6,0.7,0.1,1.0,1.0,key,key,1.0
60.0,62.0,solid,Steel 42CrMo4,1.0,1.8,oiled,,128.0,,132608.0,0.4,0.9,0.0,0.7,0.1,1.0,0.7,0.7,spline,spline,1.0
35.0,43.0,solid,Steel C45,1.0,1.6,dry,,90.0,,75778.0,0.4,0.2,0.3,0.8,0.1,0.0,0.6,0.7,key,key,1.0
70.0,79.0,hollow,Stainless 304,1.0,1.5,dry,,154.0,33.0,455977.0,0.7,0.4,0.6,0.5,0.5,0.6,0.7,0.1,key,key,1.0
20.0,20.0,solid,Cast Iron GGG40,1.0,1.7,dry,,51.0,,4432.0,0.3,0.0,0.7,0.8,0.6,0.2,0.0,0.5,key,key,1.0
18.0,13.0,solid,Steel 42CrMo4,0.0,1.4,oiled,,41.0,,2828.0,0.8,1.0,0.9,0.1,0.1,0.8,0.2,0.4,spline,spline,1.0
45.0,44.0,solid,Cast Iron GGG40,1.0,1.7,dry,,92.0,,68525.0,0.9,0.3,0.6,0.4,0.3,0.4,0.0,1.0,spline,spline,1.0
60.0,60.0,solid,Steel 16MnCr5,1.0,2.0,dry,,178.0,,339650.0,0.5,0.4,0.6,0.8,0.0,0.6,0.7,0.7,spline,spline,1.0
60.0,74.0,solid,Bronze CuSn8,1.0,1.9,dry,,138.0,,280040.0,0.1,0.4,0.2,0.2,1.0,1.0,0.7,0.6,press,press,1.0
35.0,41.0,solid,Steel S235,1.0,1.8,dry,,96.0,,61259.0,0.3,0.1,0.5,0.2,0.1,0.8,0.4,0.3,key,key,1.0
50.0,50.0,solid,Steel S235,1.0,1.5,dry,,102.0,,112445.0,0.2,0.9,0.6,0.3,0.2,1.0,0.4,0.0,spline,spline,1.0
25.0,29.0,solid,Steel 16MnCr5,1.0,1.6,oiled,,52.0,,13279.0,0.1,0.7,0.9,1.0,0.5,0.5,0.9,0.5,spline,spline,1.0
25.0,10.0,hollow,SteelC45E,0.0,1.6,dry,,60.0,9.0,12734.0,0.6,0.1,0.7,0.6,0.4,0.2,0.6,0.6,key,key,1.0
90.0,96.0,hollow,Bronze CuSn8,1.0,1.5,dry,,216.0,31.0,469898.0,0.5,0.8,1.0,0.0,0.7,0.5,0.3,0.5,spline,spline,1.0
50.0,57.0,hollow,Steel E360,1.0,1.7,oiled,,118.0,16.0,102833.0,1.0,0.7,0.2,0.8,0.9,0.5,0.3,0.9,spline,spline,1.0
30.0,30.0,solid,Steel 42CrMo4,1.0,1.6,dry,,67.0,,33266.0,1.0,0.8,0.8,0.4,0.3,0.4,0.5,0.4,spline,spline,1.0
25.0,30.0,solid,Steel S235,1.0,1.6,dry,,71.0,,12612.0,0.2,0.6,1.0,0.7,0.8,0.9,1.0,0.3,key,key,1.0
100.0,99.0,solid,Steel C45,1.0,1.6,dry,,227.0,,800583.0,0.7,0.5,0.0,1.0,0.8,0.2,0.0,0.1,spline,spline,1.0
60.0,71.0,solid,Bronze CuSn8,1.0,1.6,oiled,,154.0,,298195.0,0.8,0.4,0.4,0.9,0.4,0.8,0.4,0.3,press,press,1.0
30.0,35.0,hollow,Steel S235,1.0,1.8,dry,,60.0,12.0,13892.0,0.1,0.4,0.9,0.4,0.7,0.3,0.0,0.8,spline,spline,1.0
30.0,21.0,solid,Steel S235,0.0,1.5,dry,,76.0,,17973.0,1.0,0.0,0.1,0.9,0.2,0.2,0.1,0.7,spline,spline,1.0
30.0,34.0,solid,Bronze CuSn8,1.0,1.7,oiled,,65.0,,35566.0,0.0,0.6,0.1,0.0,0.5,0.4,0.7,0.7,spline,spline,1.0
120.0,122.0,solid,Cast Iron GGG40,1.0,1.7,oiled,,325.0,,2521973.0,0.7,0.0,0.5,0.9,1.0,0.1,0.3,0.6,press,press,1.0
45.0,57.0,solid,Steel 16MnCr5,1.0,1.4,oiled,,124.0,,151759.0,0.3,0.3,0.5,0.4,0.5,0.3,0.8,0.2,key,key,1.0
30.0,16.0,solid,Steel 42CrMo4,0.0,1.8,oiled,,71.0,,17955.0,0.7,0.6,0.0,0.9,0.1,0.5,0.4,0.9,spline,spline,1.0
110.0,56.0,hollow,Steel E360,0.0,1.4,dry,,273.0,65.0,1303326.0,0.5,0.8,0.5,0.9,0.9,0.2,0.3,0.1,press,press,1.0
60.0,30.0,hollow,Stainless 304,0.0,1.4,oiled,,115.0,29.0,215460.0,0.5,0.7,0.8,0.1,0.8,0.3,0.3,0.0,press,press,1.0
60.0,61.0,hollow,Stainless 304,1.0,1.8,dry,,147.0,33.0,159495.0,0.5,0.4,0.9,0.1,0.7,0.5,1.0,0.6,key,key,1.0
20.0,10.0,solid,Cast Iron GGG40,0.0,1.5,oiled,,39.0,,5988.0,0.9,1.0,0.5,0.3,0.1,1.0,0.0,0.4,spline,spline,1.0
20.0,25.0,hollow,Steel E360,1.0,1.4,oiled,0.22,48.0,11.0,14472.0,1.0,0.2,0.6,0.4,0.6,0.6,0.4,1.0,spline,spline,1.0
45.0,43.0,solid,SteelC45E,1.0,1.5,oiled,,92.0,,72912.0,0.9,0.4,0.4,1.0,0.4,1.0,0.7,0.1,key,key,1.0
40.0,41.0,solid,Aluminum 7075,1.0,1.6,oiled,,101.0,,28350.0,0.9,0.4,0.7,0.1,1.0,0.0,0.5,0.4,key,key,1.0
25.0,32.0,solid,Steel 16MnCr5,1.0,1.8,dry,,61.0,,26835.0,1.0,0.7,0.9,0.2,0.1,0.8,0.9,0.9,spline,spline,1.0
45.0,24.0,solid,Cast Iron GG25,0.0,1.7,dry,,100.0,,125670.0,0.3,0.7,0.7,0.5,0.5,0.7,0.6,0.8,spline,spline,1.0
35.0,39.0,hollow,SteelC45E,1.0,1.8,oiled,,95.0,20.0,79293.0,0.9,0.9,0.2,0.7,0.0,0.9,0.1,0.8,spline,spline,1.0
50.0,58.0,solid,Aluminum 6061,1.0,1.8,dry,0.14,135.0,,110167.0,0.8,0.7,0.5,0.2,0.0,0.2,0.0,0.9,spline,spline,1.0
35.0,26.0,solid,Cast Iron GG25,0.0,1.6,dry,,72.0,,28095.0,0.3,0.3,0.1,0.1,1.0,0.7,0.7,0.3,spline,spline,1.0
90.0,53.0,solid,Stainless 304,0.0,1.3,oiled,0.12,225.0,,747393.0,0.3,0.3,0.1,0.6,1.0,0.1,1.0,0.8,press,press,1.0
30.0,35.0,solid,Steel 16MnCr5,1.0,1.7,oiled,,63.0,,49479.0,0.3,0.0,0.6,0.9,0.6,0.1,1.0,0.7,key,key,1.0
45.0,49.0,solid,Steel S235,1.0,1.4,dry,,102.0,,50877.0,0.5,0.8,0.2,0.4,1.0,0.3,0.8,0.5,spline,spline,1.0
30.0,28.0,hollow,Cast Iron GG25,1.0,1.5,oiled,,69.0,15.0,23949.0,0.4,0.6,0.8,1.0,1.0,0.4,0.1,0.4,press,press,1.0
90.0,87.0,hollow,Cast Iron GGG40,1.0,1.7,dry,,199.0,30.0,713214.0,0.9,0.9,1.0,0.2,0.3,1.0,0.7,0.3,spline,spline,1.0
45.0,41.0,solid,Steel 16MnCr5,1.0,1.9,dry,,107.0,,50481.0,0.0,0.4,0.2,0.4,0.4,0.9,0.0,0.4,spline,spline,1.0
35.0,42.0,solid,SteelC45E,1.0,2.0,dry,,68.0,,63870.0,0.2,0.4,0.4,0.9,0.7,0.9,0.6,0.1,spline,spline,1.0
30.0,34.0,solid,SteelC45E,1.0,1.4,dry,0.16,78.0,,47090.0,0.9,0.8,0.3,0.6,0.8,0.7,0.5,0.0,spline,spline,1.0
30.0,21.0,solid,Steel 16MnCr5,0.0,1.3,oiled,,62.0,,40525.0,0.1,0.4,0.9,0.4,0.4,0.0,0.4,0.0,key,key,1.0
90.0,87.0,solid,Cast Iron GGG40,1.0,1.6,dry,,258.0,,914784.0,0.0,0.4,0.8,0.5,0.8,1.0,1.0,0.7,press,press,1.0
90.0,68.0,solid,Steel C45,0.0,1.4,dry,,170.0,,813300.0,0.1,0.9,0.5,0.8,0.7,0.5,0.0,0.0,spline,spline,1.0
30.0,35.0,solid,Steel S235,1.0,1.9,dry,,77.0,,41699.0,0.1,0.1,0.0,1.0,0.0,0.6,0.9,0.6,key,key,1.0
45.0,57.0,solid,Steel 42CrMo4,1.0,1.6,oiled,,118.0,,37341.0,0.0,0.9,1.0,0.8,0.7,0.9,0.2,0.7,spline,spline,1.0
60.0,45.0,solid,Cast Iron GG25,0.0,1.3,oiled,,122.0,,250948.0,0.2,0.4,0.8,0.1,0.8,0.7,0.9,0.7,press,press,1.0
60.0,45.0,solid,Cast Iron GGG40,0.0,1.4,oiled,,113.0,,229565.0,0.8,0.8,0.6,0.2,0.7,0.0,0.7,0.0,key,key,1.0
25.0,32.0,solid,Stainless 304,1.0,1.6,dry,0.07,66.0,,12339.0,0.4,0.2,0.4,1.0,0.0,0.1,0.8,0.1,key,key,1.0
25.0,30.0,hollow,SteelC45E,1.0,1.4,oiled,,48.0,13.0,8752.0,0.3,0.3,0.8,0.1,0.1,0.3,0.2,0.2,key,key,1.0
25.0,29.0,hollow,Cast Iron GG25,1.0,1.7,oiled,,69.0,14.0,8050.0,0.6,0.4,0.3,0.9,0.3,0.5,0.6,0.4,spline,spline,1.0
40.0,32.0,hollow,Stainless 304,0.0,1.4,dry,,103.0,18.0,110495.0,1.0,0.4,0.7,0.6,0.6,0.2,0.1,1.0,spline,spline,1.0
25.0,27.0,solid,Bronze CuSn8,1.0,1.8,oiled,,70.0,,23980.0,0.0,0.5,0.2,0.1,0.9,0.6,0.2,0.9,spline,spline,1.0
90.0,103.0,solid,Steel E360,1.0,1.7,dry,0.09,206.0,,730453.0,0.8,0.3,0.1,0.1,0.6,0.5,1.0,1.0,spline,spline,1.0
25.0,19.0,solid,Stainless 304,0.0,1.4,oiled,,57.0,,17396.0,0.1,1.0,0.2,0.2,0.1,0.4,0.0,0.9,spline,spline,1.0
20.0,19.0,solid,Steel S235,1.0,1.5,dry,,39.0,,4597.0,0.3,0.6,0.9,0.9,0.2,0.3,0.5,0.6,key,key,1.0
190.0,221.0,hollow,Steel C45,1.0,1.8,dry,,441.0,95.0,8034886.0,0.0,0.8,0.0,0.6,0.9,0.6,0.5,0.6,spline,spline,1.0
90.0,70.0,hollow,Cast Iron GGG40,0.0,1.7,oiled,,221.0,42.0,240460.0,0.4,0.3,0.1,0.6,0.6,1.0,0.1,0.6,spline,spline,1.0
60.0,60.0,solid,Cast Iron GGG40,1.0,1.8,dry,,140.0,,81269.0,0.7,0.6,0.2,0.7,1.0,0.3,0.7,0.4,spline,spline,1.0
25.0,29.0,solid,SteelC45E,1.0,1.6,dry,,71.0,,21019.0,0.9,0.9,0.5,0.3,0.8,0.2,0.5,0.9,spline,spline,1.0
110.0,101.0,solid,Steel 16MnCr5,1.0,1.4,oiled,,301.0,,458503.0,0.0,0.5,0.9,0.9,0.1,0.0,0.8,0.4,key,key,1.0
100.0,98.0,solid,Cast Iron GGG40,1.0,1.6,oiled,,269.0,,502683.0,0.1,0.2,0.8,0.7,0.5,0.0,0.8,0.7,press,press,1.0
90.0,64.0,solid,Steel S235,0.0,1.6,oiled,,213.0,,422104.0,0.6,0.4,0.4,0.0,0.7,0.6,0.7,0.7,spline,spline,1.0
40.0,21.0,solid,Aluminum 7075,0.0,1.7,oiled,,103.0,,55761.0,0.9,0.0,0.7,0.3,0.5,0.7,0.1,0.9,spline,spline,1.0
35.0,27.0,solid,Bronze CuSn8,0.0,1.6,dry,,79.0,,32999.0,0.4,0.1,0.3,0.6,0.4,0.0,0.3,1.0,spline,spline,1.0
100.0,100.0,solid,Aluminum 7075,1.0,1.6,dry,0.25,272.0,,542911.0,0.0,0.7,0.1,0.1,0.5,0.9,0.4,0.3,spline,spline,1.0
30.0,37.0,solid,Steel 42CrMo4,1.0,1.5,dry,,86.0,,29582.0,0.7,1.0,0.9,0.1,0.6,0.9,0.5,0.2,spline,spline,1.0
80.0,104.0,solid,Steel S235,1.0,1.9,dry,,180.0,,179574.0,0.3,0.8,0.4,0.4,0.5,0.5,0.7,0.9,spline,spline,1.0
40.0,29.0,hollow,Steel 16MnCr5,0.0,1.5,dry,,94.0,18.0,77920.0,0.5,1.0,1.0,0.1,0.0,0.9,0.5,0.5,spline,spline,1.0
35.0,23.0,solid,Steel S235,0.0,1.6,dry,,78.0,,53355.0,1.0,0.0,1.0,0.5,0.9,0.1,0.8,1.0,key,key,1.0
100.0,93.0,solid,Steel E360,1.0,1.5,oiled,,197.0,,873170.0,0.5,0.7,0.8,0.0,0.8,0.4,0.4,0.1,key,key,1.0
40.0,38.0,solid,Aluminum 7075,1.0,1.5,oiled,0.14,92.0,,70530.0,0.0,0.3,1.0,0.8,0.4,0.6,0.8,0.5,press,press,1.0
60.0,76.0,hollow,SteelC45E,1.0,1.6,oiled,,140.0,29.0,159714.0,0.9,0.0,0.9,1.0,0.7,0.4,0.6,0.9,key,key,1.0
35.0,45.0,solid,Steel 42CrMo4,1.0,1.8,dry,,89.0,,77915.0,0.5,0.4,0.7,0.7,0.5,0.0,0.6,1.0,spline,spline,1.0
70.0,78.0,solid,Steel C45,1.0,1.9,oiled,,176.0,,572470.0,0.2,0.1,0.9,0.1,0.8,0.1,0.5,0.9,press,press,1.0
50.0,61.0,solid,Steel E360,1.0,1.9,dry,0.09,120.0,,97811.0,0.5,0.8,0.7,0.9,0.5,0.5,0.1,1.0,spline,spline,1.0
50.0,52.0,solid,SteelC45E,1.0,1.8,dry,,142.0,,47330.0,1.0,1.0,0.8,0.3,0.5,0.5,0.4,0.7,spline,spline,1.0
40.0,51.0,solid,Bronze CuSn8,1.0,1.8,dry,,102.0,,115003.0,0.6,0.2,0.5,1.0,0.8,0.0,0.7,0.9,spline,spline,1.0
30.0,38.0,hollow,Steel 42CrMo4,1.0,1.7,dry,,73.0,15.0,49004.0,0.1,0.4,0.8,1.0,0.6,0.4,0.7,1.0,spline,spline,1.0
40.0,27.0,hollow,Aluminum 6061,0.0,1.6,dry,,86.0,22.0,63454.0,1.0,0.0,0.5,0.6,0.7,0.8,0.8,0.5,press,press,1.0
8.0,8.0,solid,Steel S235,1.0,1.8,dry,0.16,20.0,,418.0,0.8,0.4,0.6,1.0,0.1,0.6,0.5,0.8,spline,spline,1.0
110.0,129.0,solid,Stainless 304,1.0,1.7,dry,,276.0,,671617.0,0.8,0.3,0.1,1.0,0.1,0.1,0.9,0.4,key,key,1.0
120.0,155.0,hollow,Steel 42CrMo4,1.0,1.6,oiled,,334.0,48.0,1054124.0,0.4,0.2,0.4,0.0,0.5,0.5,0.1,0.9,spline,spline,1.0
25.0,11.0,hollow,SteelC45E,0.0,1.5,oiled,0.1,63.0,14.0,14053.0,0.8,1.0,0.8,0.0,0.9,0.6,0.9,0.6,spline,spline,1.0
50.0,65.0,solid,Bronze CuSn8,1.0,1.6,oiled,,109.0,,190671.0,0.1,1.0,0.6,0.4,0.3,0.1,0.7,0.6,spline,spline,1.0
35.0,16.0,solid,Cast Iron GG25,0.0,1.7,dry,0.25,89.0,,77434.0,0.3,0.7,0.8,0.0,0.2,1.0,0.7,0.9,spline,spline,1.0
45.0,57.0,hollow,Steel E360,1.0,1.4,dry,,126.0,27.0,117447.0,0.5,0.7,1.0,0.9,0.4,0.6,0.5,0.1,key,key,1.0
50.0,36.0,solid,Stainless 304,0.0,1.5,oiled,,94.0,,175137.0,1.0,0.3,0.1,0.8,0.5,0.0,0.6,0.6,spline,spline,1.0
110.0,64.0,hollow,Aluminum 6061,0.0,1.5,dry,,258.0,46.0,1009953.0,0.6,0.7,0.8,0.6,0.0,1.0,0.1,0.3,spline,spline,1.0
40.0,44.0,hollow,Aluminum 6061,1.0,1.7,dry,0.06,103.0,16.0,26750.0,0.2,0.9,0.1,0.5,0.1,0.2,0.7,1.0,spline,spline,1.0
10.0,10.0,solid,Aluminum 7075,1.0,1.7,dry,,24.0,,843.0,0.5,1.0,0.2,0.7,1.0,0.8,0.2,0.5,spline,spline,1.0
20.0,22.0,solid,Aluminum 6061,1.0,1.4,oiled,,49.0,,8878.0,0.4,0.8,0.0,1.0,0.9,0.5,0.1,0.2,spline,spline,1.0
40.0,45.0,solid,Steel 16MnCr5,1.0,1.6,dry,,84.0,,25909.0,0.1,0.8,0.6,0.9,0.7,0.8,0.2,0.7,spline,spline,1.0
60.0,62.0,solid,Steel E360,1.0,1.5,oiled,,142.0,,334345.0,0.0,0.7,0.0,1.0,0.6,0.4,0.5,0.1,press,press,1.0
45.0,43.0,solid,Cast Iron GGG40,1.0,1.7,oiled,,126.0,,63895.0,0.3,0.7,1.0,0.1,1.0,0.8,1.0,0.6,spline,spline,1.0
35.0,26.0,solid,SteelC45E,0.0,1.7,oiled,,66.0,,20946.0,0.5,0.4,0.0,0.9,1.0,1.0,0.2,0.7,spline,spline,1.0
120.0,130.0,solid,Bronze CuSn8,1.0,1.7,oiled,,269.0,,1432082.0,0.7,0.1,0.0,0.8,0.3,0.0,0.6,0.6,key,key,1.0
35.0,38.0,solid,SteelC45E,1.0,1.6,oiled,,73.0,,71112.0,1.0,0.3,0.5,0.5,0.8,1.0,1.0,0.0,key,key,1.0
45.0,54.0,solid,Steel 42CrMo4,1.0,1.7,oiled,0.09,120.0,,125977.0,0.1,0.8,0.9,0.4,0.1,0.9,0.7,1.0,spline,spline,1.0
30.0,21.0,solid,Cast Iron GG25,0.0,1.4,oiled,,61.0,,47127.0,0.8,1.0,1.0,0.1,0.6,0.8,1.0,0.6,spline,spline,1.0
40.0,21.0,solid,Stainless 304,0.0,1.6,oiled,,81.0,,74615.0,0.4,0.7,0.1,1.0,0.7,0.3,0.1,0.7,spline,spline,1.0
90.0,63.0,solid,Bronze CuSn8,0.0,1.5,oiled,0.21,209.0,,601666.0,0.8,0.7,0.0,0.6,0.6,0.8,0.1,0.3,spline,spline,1.0
25.0,12.0,solid,Stainless 304,0.0,1.3,oiled,,56.0,,24584.0,0.7,0.1,0.9,0.2,0.4,0.8,0.5,0.2,key,key,1.0
40.0,20.0,solid,Cast Iron GG25,0.0,1.6,dry,,86.0,,26808.0,0.1,0.7,0.5,0.9,0.6,0.3,0.9,1.0,spline,spline,1.0
45.0,57.0,hollow,Steel S235,1.0,1.6,oiled,,93.0,15.0,119288.0,0.5,0.1,0.2,0.8,0.5,1.0,0.5,0.4,spline,spline,1.0
80.0,89.0,solid,Aluminum 6061,1.0,1.4,oiled,,231.0,,731600.0,1.0,0.0,0.5,0.8,0.8,0.6,0.1,0.1,press,press,1.0
70.0,66.0,solid,Cast Iron GG25,1.0,1.5,dry,,175.0,,161273.0,0.8,1.0,0.4,0.4,0.1,0.7,0.5,0.3,spline,spline,1.0
25.0,25.0,solid,Aluminum 6061,1.0,1.8,dry,,63.0,,25431.0,0.3,0.2,0.2,0.8,0.5,0.5,0.4,1.0,press,press,1.0
60.0,55.0,solid,Cast Iron GG25,1.0,1.7,dry,,154.0,,352086.0,0.8,0.5,0.7,0.1,0.1,0.6,1.0,0.1,press,press,1.0
90.0,110.0,hollow,Steel 16MnCr5,1.0,1.4,oiled,,180.0,43.0,377624.0,0.0,0.0,1.0,0.2,0.9,0.2,0.1,0.5,key,key,1.0
100.0,50.0,solid,Stainless 304,0.0,1.6,dry,,187.0,,1194627.0,1.0,0.1,0.0,0.4,0.7,0.1,0.2,0.9,spline,spline,1.0
